ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
299,0,0,23,0,-23
300,0,0,52,0,-52
301,0,0,9,0,-9
302,0,0,96,0,-96
303,0,0,75,0,-75
304,0,0,15,0,-15
305,1,0,53,0,-53
306,1,0,92,0,-92
307,1,0,244,0,-244
308,1,1,166,1204,1038
309,1,0,96,0,-96
310,1,0,155,0,-155
311,1,1,1203,1209,6
312,1,1,478,1219,741
313,0,0,11,0,-11
314,0,0,29,0,-29
315,1,0,45,0,-45
316,0,0,31,0,-31
317,1,1,795,1424,629
318,1,0,57,0,-57
319,0,0,0,0,0
320,1,0,4,0,-4
321,0,0,41,0,-41
322,1,1,44,3319,3275
323,1,0,63,0,-63
324,0,0,200,0,-200
325,1,1,667,1278,611
326,0,0,31,0,-31
327,0,0,22,0,-22
328,1,1,288,1229,941
329,1,1,76,1284,1208
330,1,0,47,0,-47
331,0,0,79,0,-79
332,1,0,131,0,-131
333,0,0,41,0,-41
334,1,1,1464,1335,-129
335,0,0,31,0,-31
336,1,0,29,0,-29
337,0,0,26,0,-26
338,1,1,1373,2415,1042
339,0,0,168,0,-168
340,1,0,4,0,-4
341,1,0,12,0,-12
342,0,0,41,0,-41
343,0,0,16,0,-16
344,0,0,48,0,-48
345,1,1,344,1726,1382
346,0,0,63,0,-63
347,1,0,11,0,-11
348,1,0,36,0,-36
349,1,0,0,0,0
350,1,0,22,0,-22
351,0,0,29,0,-29
352,1,1,891,1308,417
353,1,0,67,0,-67
354,1,1,535,1941,1406
355,1,0,74,0,-74
356,1,1,530,1341,811
357,0,0,135,0,-135
358,1,1,2272,1331,-941
359,0,0,34,0,-34
360,1,0,1,0,-1
361,1,1,354,1216,862
362,1,0,10,0,-10
363,1,0,45,0,-45
364,0,0,77,0,-77
365,1,1,1327,1307,-20
366,1,0,84,0,-84
367,0,0,62,0,-62
368,1,0,48,0,-48
369,0,0,46,0,-46
370,1,1,235,1257,1022
371,1,0,134,0,-134
372,1,0,95,0,-95
373,0,0,94,0,-94
374,1,1,313,1693,1380
375,0,0,22,0,-22
376,0,0,167,0,-167
377,1,1,57,1693,1636
378,0,0,24,0,-24
379,0,0,4,0,-4
380,1,1,284,1346,1062
381,1,0,114,0,-114
382,0,0,58,0,-58
383,1,0,32,0,-32
384,0,0,7,0,-7
385,1,1,337,1883,1546
386,1,1,923,1694,771
387,1,0,228,0,-228
388,1,1,528,1221,693
389,0,0,25,0,-25
390,1,0,50,0,-50
391,0,0,33,0,-33
392,1,0,42,0,-42
393,1,1,724,1442,718
394,1,0,55,0,-55
395,0,0,75,0,-75
396,1,0,42,0,-42
397,0,0,4,0,-4
398,1,0,20,0,-20
399,0,0,34,0,-34
400,1,0,6,0,-6
401,0,0,117,0,-117
402,0,0,37,0,-37
403,0,0,49,0,-49
404,1,1,1511,1226,-285
405,1,0,16,0,-16
406,1,0,31,0,-31
407,1,1,555,1554,999
408,0,0,86,0,-86
409,0,0,129,0,-129
410,0,0,88,0,-88
411,1,1,666,1536,870
412,1,1,655,4353,3698
413,1,0,29,0,-29
414,1,0,22,0,-22
415,1,1,95,1793,1698
416,0,0,53,0,-53
417,1,0,17,0,-17
418,1,0,163,0,-163
419,1,0,41,0,-41
420,0,0,37,0,-37
421,1,1,709,1272,563
422,0,0,50,0,-50
423,1,1,1777,1432,-345
424,1,0,103,0,-103
425,1,0,49,0,-49
426,1,1,30,1391,1361
427,0,0,28,0,-28
428,1,0,50,0,-50
429,0,0,16,0,-16
430,0,0,23,0,-23
431,0,0,48,0,-48
432,0,0,120,0,-120
433,1,0,31,0,-31
434,1,0,49,0,-49
435,0,0,38,0,-38
436,0,0,15,0,-15
437,1,1,52,1230,1178
438,0,0,1,0,-1
439,1,0,13,0,-13
440,0,0,72,0,-72
441,1,0,37,0,-37
442,0,0,35,0,-35
443,1,1,988,1977,989
444,0,0,80,0,-80
445,0,0,4,0,-4
446,1,0,153,0,-153
447,0,0,66,0,-66
448,1,0,49,0,-49
449,0,0,67,0,-67
450,0,0,17,0,-17
451,0,0,13,0,-13
452,1,0,49,0,-49
453,1,1,1014,1329,315
454,1,0,44,0,-44
455,1,1,385,1204,819
456,1,1,1869,1781,-88
457,0,0,44,0,-44
458,1,1,1170,1216,46
459,1,1,382,1304,922
460,0,0,17,0,-17
461,1,1,76,1208,1132
462,1,1,2512,1279,-1233
463,1,0,26,0,-26
464,1,0,130,0,-130
465,1,0,26,0,-26
466,0,0,86,0,-86
467,0,0,259,0,-259
468,0,0,8,0,-8
469,1,0,35,0,-35
470,0,0,35,0,-35
471,1,0,39,0,-39
472,1,0,33,0,-33
473,0,0,32,0,-32
474,0,0,8,0,-8
475,1,1,506,1287,781
476,1,1,102,1397,1295
477,1,1,275,2812,2537
478,1,0,47,0,-47
479,1,0,26,0,-26
480,1,1,358,1220,862
481,0,0,8,0,-8
482,1,1,238,1308,1070
483,0,0,86,0,-86
484,1,0,17,0,-17
485,1,1,1210,1895,685
486,1,0,66,0,-66
487,1,1,273,1271,998
488,0,0,67,0,-67
489,0,0,128,0,-128
490,1,1,726,1743,1017
491,0,0,109,0,-109
492,0,0,5,0,-5
493,0,0,81,0,-81
494,1,1,108,2092,1984
495,1,0,40,0,-40
496,1,0,10,0,-10
497,1,0,51,0,-51
498,1,1,515,2773,2258
499,1,1,726,1551,825
500,1,0,104,0,-104
501,1,1,628,1378,750
502,0,0,11,0,-11
503,1,1,1001,1516,515
504,1,0,24,0,-24
505,1,1,352,1427,1075
506,1,1,108,1431,1323
507,1,0,24,0,-24
508,0,0,100,0,-100
509,0,0,10,0,-10
510,0,0,117,0,-117
511,0,0,67,0,-67
512,0,0,9,0,-9
513,1,0,40,0,-40
514,0,0,27,0,-27
515,1,0,32,0,-32
516,1,0,71,0,-71
517,1,0,48,0,-48
518,1,0,40,0,-40
519,0,0,63,0,-63
520,0,0,6,0,-6
521,0,0,82,0,-82
522,0,0,10,0,-10
523,1,1,121,2188,2067
524,1,1,1889,1509,-380
525,1,0,20,0,-20
526,0,0,31,0,-31
527,1,0,8,0,-8
528,1,0,42,0,-42
529,0,0,77,0,-77
530,1,0,4,0,-4
531,1,1,1759,1291,-468
532,0,0,3,0,-3
533,0,0,47,0,-47
534,1,1,17,1277,1260
535,0,0,13,0,-13
536,0,0,0,0,0
537,0,0,90,0,-90
538,1,0,33,0,-33
539,1,0,13,0,-13
540,0,0,28,0,-28
541,1,1,140,1720,1580
542,1,0,12,0,-12
543,0,0,57,0,-57
544,1,0,38,0,-38
545,0,0,26,0,-26
546,0,0,93,0,-93
547,1,0,26,0,-26
548,0,0,91,0,-91
549,0,0,12,0,-12
550,0,0,56,0,-56
551,1,0,1,0,-1
552,1,0,55,0,-55
553,1,1,289,1872,1583
554,1,0,4,0,-4
555,1,1,899,1276,377
556,1,0,1,0,-1
557,1,1,102,1226,1124
558,1,1,29,1296,1267
559,0,0,63,0,-63
560,1,0,36,0,-36
561,1,1,246,1342,1096
562,1,0,140,0,-140
563,1,1,1471,1348,-123
564,0,0,1,0,-1
565,1,1,1106,1597,491
566,0,0,77,0,-77
567,1,0,51,0,-51
568,0,0,65,0,-65
569,1,1,563,1453,890
570,1,1,74,1259,1185
571,0,0,31,0,-31
572,1,1,651,1382,731
573,0,0,13,0,-13
574,0,0,35,0,-35
575,0,0,11,0,-11
576,1,0,32,0,-32
577,0,0,43,0,-43
578,1,1,105,1213,1108
579,0,0,23,0,-23
580,1,0,119,0,-119
581,0,0,0,0,0
582,0,0,7,0,-7
583,0,0,25,0,-25
584,0,0,1,0,-1
585,0,0,10,0,-10
586,1,0,128,0,-128
587,1,1,1192,1339,147
588,0,0,140,0,-140
589,0,0,100,0,-100
590,0,0,137,0,-137
591,1,0,24,0,-24
592,1,0,29,0,-29
593,1,1,856,1337,481
594,0,0,217,0,-217
595,0,0,102,0,-102
596,0,0,37,0,-37
597,1,0,11,0,-11
598,1,0,60,0,-60
599,1,1,97,1693,1596
600,0,0,143,0,-143
601,1,0,22,0,-22
602,1,0,156,0,-156
603,1,1,233,3183,2950
604,1,0,119,0,-119
605,0,0,225,0,-225
606,0,0,136,0,-136
607,1,0,43,0,-43
608,0,0,22,0,-22
609,1,1,286,1407,1121
610,1,1,385,1906,1521
611,1,1,44,1685,1641
612,0,0,14,0,-14
613,1,1,418,1458,1040
614,1,1,232,1212,980
615,0,0,244,0,-244
616,1,0,17,0,-17
617,1,0,17,0,-17
618,1,0,29,0,-29
619,1,0,205,0,-205
620,0,0,50,0,-50
621,1,0,1,0,-1
622,1,0,63,0,-63
623,1,0,52,0,-52
624,0,0,45,0,-45
625,1,0,39,0,-39
626,1,0,25,0,-25
627,0,0,2,0,-2
628,1,1,656,1963,1307
629,1,0,20,0,-20
630,0,0,59,0,-59
631,1,0,14,0,-14
632,1,1,337,1589,1252
633,1,0,15,0,-15
634,1,1,346,1452,1106
635,1,1,682,1234,552
636,0,0,33,0,-33
637,1,1,759,1389,630
638,1,1,136,1327,1191
639,0,0,39,0,-39
640,0,0,55,0,-55
641,1,0,1,0,-1
642,0,0,53,0,-53
643,1,0,76,0,-76
644,0,0,35,0,-35
645,0,0,18,0,-18
646,1,0,21,0,-21
647,0,0,91,0,-91
648,0,0,42,0,-42
649,0,0,10,0,-10
650,1,0,56,0,-56
651,0,0,6,0,-6
652,0,0,47,0,-47
653,1,0,12,0,-12
654,1,0,29,0,-29
655,1,1,287,1211,924
656,0,0,24,0,-24
657,0,0,13,0,-13
658,0,0,76,0,-76
659,0,0,33,0,-33
660,1,1,176,2346,2170
661,1,0,61,0,-61
662,0,0,18,0,-18
663,1,1,208,1623,1415
664,1,0,45,0,-45
665,1,0,6,0,-6
666,0,0,60,0,-60
667,1,0,13,0,-13
668,1,0,75,0,-75
669,0,0,32,0,-32
670,0,0,0,0,0
671,1,0,6,0,-6
672,0,0,63,0,-63
673,1,0,70,0,-70
674,0,0,136,0,-136
675,1,1,236,1885,1649
676,1,0,58,0,-58
677,0,0,8,0,-8
678,1,1,1315,1356,41
679,1,1,359,1316,957
680,1,0,75,0,-75
681,0,0,31,0,-31
682,0,0,59,0,-59
683,0,0,24,0,-24
684,1,0,50,0,-50
685,1,0,39,0,-39
686,1,1,889,1382,493
687,1,0,19,0,-19
688,1,0,16,0,-16
689,1,0,80,0,-80
690,1,1,472,1853,1381
691,1,1,493,1203,710
692,1,1,124,1322,1198
693,0,0,32,0,-32
694,1,0,6,0,-6
695,1,0,5,0,-5
696,0,0,12,0,-12
697,1,0,36,0,-36
698,1,0,66,0,-66
699,1,1,91,1531,1440
700,0,0,15,0,-15
701,1,0,4,0,-4
702,1,0,6,0,-6
703,1,0,37,0,-37
704,0,0,221,0,-221
705,0,0,97,0,-97
706,0,0,31,0,-31
707,1,0,39,0,-39
708,0,0,14,0,-14
709,0,0,80,0,-80
710,0,0,105,0,-105
711,1,0,49,0,-49
712,0,0,32,0,-32
713,1,0,4,0,-4
714,0,0,74,0,-74
715,1,1,572,1348,776
716,0,0,12,0,-12
717,1,0,118,0,-118
718,1,0,77,0,-77
719,1,1,147,1272,1125
720,0,0,0,0,0
721,1,0,19,0,-19
722,1,0,63,0,-63
723,1,1,368,1360,992
724,1,1,84,1628,1544
725,1,1,238,1222,984
726,1,0,122,0,-122
727,0,0,16,0,-16
728,1,0,32,0,-32
729,0,0,88,0,-88
730,1,1,38,1507,1469
731,1,0,10,0,-10
732,1,1,744,1367,623
733,1,1,112,1241,1129
734,1,0,25,0,-25
735,0,0,62,0,-62
736,1,0,26,0,-26
737,1,0,48,0,-48
738,1,1,548,1980,1432
739,1,0,61,0,-61
740,0,0,5,0,-5
741,1,0,7,0,-7
742,1,1,379,1243,864
743,0,0,91,0,-91
744,1,1,562,1257,695
745,1,0,54,0,-54
746,1,1,382,1704,1322
747,1,1,536,1377,841
748,1,1,124,1282,1158
749,0,0,62,0,-62
750,1,0,21,0,-21
751,0,0,10,0,-10
752,1,0,28,0,-28
753,1,0,82,0,-82
754,1,1,380,1222,842
755,0,0,9,0,-9
756,1,0,23,0,-23
757,0,0,31,0,-31
758,1,1,820,1290,470
759,1,1,660,1471,811
760,1,1,809,1289,480
761,0,0,49,0,-49
762,1,1,118,1232,1114
763,1,0,15,0,-15
764,1,1,718,1443,725
765,1,0,85,0,-85
766,1,0,148,0,-148
767,1,1,1595,1543,-52
768,1,1,959,1485,526
769,1,0,8,0,-8
770,1,1,269,1617,1348
771,1,0,15,0,-15
772,1,0,95,0,-95
773,1,0,0,0,0
774,0,0,61,0,-61
775,1,1,1160,1273,113
776,1,0,22,0,-22
777,0,0,21,0,-21
778,0,0,131,0,-131
779,0,0,0,0,0
780,1,0,10,0,-10
781,1,1,269,1259,990
782,1,1,1020,1477,457
783,1,0,68,0,-68
784,1,1,974,1398,424
785,1,0,63,0,-63
786,1,1,101,1240,1139
787,0,0,14,0,-14
788,1,0,2,0,-2
789,1,1,1101,1444,343
790,0,0,101,0,-101
791,1,1,44,1281,1237
792,1,1,304,1271,967
793,0,0,97,0,-97
794,0,0,70,0,-70
795,1,0,61,0,-61
796,1,1,482,1206,724
797,1,0,89,0,-89
798,1,0,25,0,-25
799,1,0,8,0,-8
800,0,0,32,0,-32
801,0,0,189,0,-189
802,1,0,40,0,-40
803,1,1,1819,1203,-616
804,0,0,2,0,-2
805,0,0,5,0,-5
806,1,0,21,0,-21
807,1,1,1436,1235,-201
808,1,1,329,1523,1194
809,0,0,18,0,-18
810,1,1,106,1382,1276
811,1,1,314,1588,1274
812,0,0,77,0,-77
813,0,0,32,0,-32
814,1,1,477,1225,748
815,1,1,765,2178,1413
816,0,0,86,0,-86
817,1,1,62,1359,1297
818,1,0,139,0,-139
819,0,0,163,0,-163
820,0,0,2,0,-2
821,0,0,7,0,-7
822,0,0,7,0,-7
823,1,1,145,1326,1181
824,1,0,58,0,-58
825,1,0,22,0,-22
826,0,0,40,0,-40
827,0,0,7,0,-7
828,1,0,55,0,-55
829,0,0,20,0,-20
830,0,0,4,0,-4
831,1,1,38,1255,1217
832,1,1,269,1430,1161
833,0,0,16,0,-16
834,1,0,28,0,-28
835,0,0,30,0,-30
836,0,0,10,0,-10
837,0,0,33,0,-33
838,1,0,20,0,-20
839,0,0,21,0,-21
840,1,1,270,1225,955
841,0,0,10,0,-10
842,0,0,75,0,-75
843,1,1,152,3305,3153
844,1,0,54,0,-54
845,0,0,129,0,-129
846,0,0,50,0,-50
847,0,0,87,0,-87
848,1,0,10,0,-10
849,1,1,37,1546,1509
850,1,0,96,0,-96
851,1,0,7,0,-7
852,0,0,34,0,-34
853,1,1,463,2501,2038
854,1,1,1029,1208,179
855,1,0,219,0,-219
856,0,0,6,0,-6
857,1,0,64,0,-64
858,0,0,6,0,-6
859,0,0,4,0,-4
860,1,0,29,0,-29
861,1,1,444,1276,832
862,0,0,15,0,-15
863,1,1,537,1826,1289
864,0,0,3,0,-3
865,1,1,352,2247,1895
866,1,0,57,0,-57
867,1,1,639,1549,910
868,0,0,135,0,-135
869,1,1,34,1361,1327
870,0,0,1,0,-1
871,1,0,24,0,-24
872,1,1,297,1473,1176
873,0,0,10,0,-10
874,0,0,41,0,-41
875,1,1,636,1479,843
876,0,0,10,0,-10
877,0,0,81,0,-81
878,1,1,802,1434,632
879,1,0,27,0,-27
880,1,1,898,1211,313
881,0,0,11,0,-11
882,1,1,562,1200,638
883,1,1,218,1290,1072
884,1,1,515,1333,818
885,0,0,2,0,-2
886,0,0,17,0,-17
887,0,0,7,0,-7
888,0,0,48,0,-48
889,1,1,390,1535,1145
890,0,0,41,0,-41
891,1,0,7,0,-7
892,1,1,45,1592,1547
893,0,0,44,0,-44
894,1,0,7,0,-7
895,0,0,79,0,-79
896,1,0,62,0,-62
897,0,0,11,0,-11
898,0,0,58,0,-58
899,0,0,8,0,-8
900,1,1,610,1200,590
901,0,0,76,0,-76
902,1,1,693,1350,657
903,1,1,1331,2746,1415
904,1,1,2587,1426,-1161
905,1,0,16,0,-16
906,0,0,30,0,-30
907,1,0,68,0,-68
908,0,0,22,0,-22
909,1,1,69,1283,1214
910,1,0,88,0,-88
911,1,1,371,1318,947
912,1,1,151,1318,1167
913,0,0,8,0,-8
914,1,0,25,0,-25
915,1,0,90,0,-90
916,0,0,40,0,-40
917,0,0,15,0,-15
918,0,0,42,0,-42
919,0,0,53,0,-53
920,1,1,958,1316,358
921,1,1,78,1896,1818
922,0,0,103,0,-103
923,1,0,73,0,-73
924,1,0,5,0,-5
925,0,0,240,0,-240
926,1,1,31,1361,1330
927,1,0,99,0,-99
928,0,0,53,0,-53
929,1,1,155,1210,1055
930,1,0,14,0,-14
931,0,0,139,0,-139
932,1,1,391,1257,866
933,1,0,5,0,-5
934,0,0,87,0,-87
935,1,0,17,0,-17
936,1,1,283,2096,1813
937,1,1,442,1226,784
938,0,0,41,0,-41
939,1,1,110,1699,1589
940,0,0,11,0,-11
941,1,1,1210,1771,561
942,0,0,5,0,-5
943,0,0,186,0,-186
944,1,0,32,0,-32
945,0,0,52,0,-52
946,0,0,38,0,-38
947,1,0,5,0,-5
948,1,1,763,1512,749
949,1,1,85,1306,1221
950,0,0,55,0,-55
951,0,0,127,0,-127
952,0,0,10,0,-10
953,0,0,14,0,-14
954,1,1,476,1345,869
955,0,0,40,0,-40
956,1,0,56,0,-56
957,0,0,67,0,-67
958,0,0,103,0,-103
959,1,1,527,1221,694
960,1,1,970,1604,634
961,1,1,1086,1594,508
962,0,0,136,0,-136
963,0,0,16,0,-16
964,0,0,12,0,-12
965,0,0,41,0,-41
966,1,0,19,0,-19
967,0,0,46,0,-46
968,0,0,11,0,-11
969,0,0,47,0,-47
970,0,0,180,0,-180
971,0,0,45,0,-45
972,0,0,18,0,-18
973,1,0,150,0,-150
974,1,0,5,0,-5
975,1,0,16,0,-16
976,1,0,153,0,-153
977,1,1,223,1264,1041
978,1,1,617,1561,944
979,1,1,779,1284,505
980,1,1,275,1633,1358
981,1,0,124,0,-124
982,0,0,21,0,-21
983,1,1,192,2348,2156
984,1,0,34,0,-34
985,1,0,60,0,-60
986,0,0,48,0,-48
987,1,0,54,0,-54
988,0,0,24,0,-24
989,0,0,71,0,-71
990,0,0,1,0,-1
991,1,0,2,0,-2
992,0,0,32,0,-32
993,0,0,3,0,-3
994,1,1,96,1205,1109
995,1,0,31,0,-31
996,1,1,528,1202,674
997,1,0,8,0,-8
998,0,0,99,0,-99
999,1,1,152,1344,1192
1000,1,0,26,0,-26
1001,1,1,385,1283,898
1002,0,0,58,0,-58
1003,0,0,35,0,-35
1004,1,0,7,0,-7
1005,0,0,3,0,-3
1006,0,0,27,0,-27
1007,0,0,69,0,-69
1008,1,0,72,0,-72
1009,1,0,7,0,-7
1010,0,0,12,0,-12
1011,1,0,15,0,-15
1012,1,0,73,0,-73
1013,1,1,390,1745,1355
1014,0,0,73,0,-73
1015,0,0,71,0,-71
1016,1,1,478,1331,853
1017,1,1,118,1273,1155
1018,1,0,98,0,-98
1019,0,0,160,0,-160
1020,1,0,91,0,-91
1021,0,0,83,0,-83
1022,1,0,45,0,-45
1023,0,0,18,0,-18
1024,0,0,83,0,-83
1025,1,0,13,0,-13
1026,1,1,152,1385,1233
1027,0,0,50,0,-50
1028,0,0,12,0,-12
1029,1,0,113,0,-113
1030,0,0,119,0,-119
1031,1,1,889,1238,349
1032,1,1,175,1636,1461
1033,1,1,745,1374,629
1034,1,0,10,0,-10
1035,0,0,8,0,-8
1036,1,0,6,0,-6
1037,1,0,11,0,-11
1038,1,1,419,1520,1101
1039,1,1,32,1472,1440
1040,1,1,625,1204,579
1041,1,0,11,0,-11
1042,0,0,128,0,-128
1043,0,0,51,0,-51
1044,0,0,62,0,-62
1045,0,0,9,0,-9
1046,0,0,74,0,-74
1047,1,0,10,0,-10
1048,1,1,598,1716,1118
1049,1,1,1956,2255,299
1050,1,0,12,0,-12
1051,1,1,979,1953,974
1052,1,1,58,1333,1275
