ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
140,0,0,8,0,-8
141,0,0,58,0,-58
142,0,0,39,0,-39
143,1,1,142,2079,1937
144,1,0,98,0,-98
145,0,0,63,0,-63
146,0,0,42,0,-42
147,0,0,48,0,-48
148,1,1,367,1255,888
149,1,1,228,1252,1024
150,0,0,53,0,-53
151,0,0,173,0,-173
152,1,1,1813,1359,-454
153,1,1,610,1817,1207
154,0,0,29,0,-29
155,0,0,121,0,-121
156,1,1,422,1211,789
157,0,0,180,0,-180
158,1,0,12,0,-12
159,1,0,8,0,-8
160,1,0,41,0,-41
161,1,0,15,0,-15
162,1,1,90,1650,1560
163,1,1,1727,1815,88
164,1,0,24,0,-24
165,1,1,687,2206,1519
166,1,0,31,0,-31
167,1,1,352,1207,855
168,0,0,81,0,-81
169,1,0,42,0,-42
170,1,1,332,1377,1045
171,0,0,32,0,-32
172,1,0,21,0,-21
173,1,0,144,0,-144
174,0,0,22,0,-22
175,0,0,9,0,-9
176,1,1,292,1486,1194
177,0,0,56,0,-56
178,1,0,15,0,-15
179,0,0,23,0,-23
180,1,0,10,0,-10
181,0,0,25,0,-25
182,0,0,36,0,-36
183,0,0,90,0,-90
184,1,1,161,1476,1315
185,1,1,709,1204,495
186,1,0,1,0,-1
187,1,1,305,1260,955
188,1,1,639,2064,1425
189,1,0,36,0,-36
190,1,1,1255,1361,106
191,1,1,113,1692,1579
192,1,1,578,4416,3838
193,1,1,30,1336,1306
194,1,1,544,1348,804
195,1,1,599,1537,938
196,0,0,190,0,-190
197,1,1,413,1255,842
198,1,1,64,1753,1689
199,0,0,137,0,-137
200,0,0,9,0,-9
201,0,0,22,0,-22
202,1,1,71,1555,1484
203,1,0,59,0,-59
204,1,1,349,1300,951
205,0,0,32,0,-32
206,0,0,51,0,-51
207,0,0,61,0,-61
208,1,1,158,1410,1252
209,1,1,805,1353,548
210,0,0,43,0,-43
211,1,0,59,0,-59
212,1,0,32,0,-32
213,0,0,47,0,-47
214,0,0,50,0,-50
215,0,0,15,0,-15
216,1,0,78,0,-78
217,1,0,58,0,-58
218,1,1,526,1303,777
219,1,1,175,1436,1261
220,0,0,39,0,-39
221,1,0,120,0,-120
222,0,0,70,0,-70
223,1,0,49,0,-49
224,1,0,65,0,-65
225,1,1,47,1200,1153
226,0,0,38,0,-38
227,0,0,121,0,-121
228,0,0,133,0,-133
229,1,1,84,1433,1349
230,0,0,142,0,-142
231,1,1,331,1235,904
232,1,0,4,0,-4
233,1,0,167,0,-167
234,0,0,69,0,-69
235,1,0,61,0,-61
236,0,0,47,0,-47
237,0,0,2,0,-2
238,0,0,16,0,-16
239,1,0,7,0,-7
240,1,1,2011,1205,-806
241,1,1,1301,1557,256
242,1,0,147,0,-147
243,1,0,9,0,-9
244,0,0,120,0,-120
245,1,1,126,2022,1896
246,1,0,1,0,-1
247,0,0,117,0,-117
248,0,0,21,0,-21
249,1,0,92,0,-92
250,0,0,47,0,-47
251,1,1,142,1481,1339
252,1,1,276,1919,1643
253,1,1,113,1205,1092
254,1,0,217,0,-217
255,1,0,56,0,-56
256,1,1,449,1239,790
257,0,0,23,0,-23
258,0,0,8,0,-8
259,0,0,68,0,-68
260,1,0,27,0,-27
261,1,1,1616,1392,-224
262,1,0,24,0,-24
263,1,0,20,0,-20
264,0,0,77,0,-77
265,0,0,11,0,-11
266,0,0,32,0,-32
267,0,0,35,0,-35
268,1,0,8,0,-8
269,1,0,46,0,-46
270,0,0,16,0,-16
271,1,1,915,1239,324
272,1,1,203,1322,1119
273,1,0,54,0,-54
274,0,0,118,0,-118
275,1,1,1684,1240,-444
276,1,1,526,1750,1224
277,0,0,167,0,-167
278,0,0,1,0,-1
279,1,1,568,1272,704
280,0,0,89,0,-89
281,0,0,31,0,-31
282,1,0,9,0,-9
283,0,0,18,0,-18
284,1,1,106,2112,2006
285,1,0,4,0,-4
286,0,0,69,0,-69
287,1,0,8,0,-8
288,1,0,18,0,-18
289,1,0,63,0,-63
290,1,0,126,0,-126
291,1,0,17,0,-17
292,1,1,885,1245,360
293,1,1,132,1222,1090
294,1,1,627,1233,606
295,0,0,55,0,-55
296,0,0,40,0,-40
297,1,1,834,1817,983
298,1,0,13,0,-13
299,1,0,116,0,-116
300,1,1,418,1362,944
301,1,1,598,1420,822
302,0,0,64,0,-64
303,1,0,1,0,-1
304,0,0,77,0,-77
305,0,0,63,0,-63
306,1,0,17,0,-17
307,1,1,711,1370,659
308,1,0,25,0,-25
309,0,0,123,0,-123
310,0,0,9,0,-9
311,0,0,17,0,-17
312,1,1,262,1538,1276
313,0,0,16,0,-16
314,1,0,56,0,-56
315,1,0,17,0,-17
316,1,1,54,1533,1479
317,1,1,965,1205,240
318,1,0,51,0,-51
319,1,0,19,0,-19
320,1,1,94,1219,1125
321,1,1,303,1267,964
322,0,0,56,0,-56
323,0,0,77,0,-77
324,1,0,78,0,-78
325,1,0,59,0,-59
326,0,0,96,0,-96
327,1,0,24,0,-24
328,0,0,50,0,-50
329,1,1,111,1679,1568
330,0,0,30,0,-30
331,0,0,12,0,-12
332,0,0,149,0,-149
333,1,1,694,1236,542
334,1,1,30,1219,1189
335,1,1,472,1283,811
336,1,1,286,1856,1570
337,1,1,90,1596,1506
338,0,0,75,0,-75
339,1,1,113,1803,1690
340,0,0,16,0,-16
341,1,1,261,1624,1363
342,1,0,112,0,-112
343,1,0,5,0,-5
344,1,0,54,0,-54
345,1,1,285,1536,1251
346,1,1,378,1926,1548
347,1,1,218,1250,1032
348,0,0,104,0,-104
349,1,1,414,1553,1139
350,1,1,468,1219,751
351,0,0,57,0,-57
352,0,0,7,0,-7
353,1,1,70,1282,1212
354,1,1,107,1478,1371
355,0,0,45,0,-45
356,1,1,547,1285,738
357,1,1,265,1864,1599
358,1,0,66,0,-66
359,1,0,15,0,-15
360,1,0,6,0,-6
361,1,1,294,1526,1232
362,0,0,78,0,-78
363,0,0,41,0,-41
364,0,0,124,0,-124
365,1,1,375,1781,1406
366,0,0,28,0,-28
367,1,1,217,1218,1001
368,1,0,13,0,-13
369,1,0,60,0,-60
370,1,0,8,0,-8
371,1,0,31,0,-31
372,1,1,26,2136,2110
373,1,1,810,1274,464
374,0,0,90,0,-90
375,1,1,141,1236,1095
376,1,0,21,0,-21
377,1,1,173,1429,1256
378,1,0,110,0,-110
379,1,0,43,0,-43
380,1,0,25,0,-25
381,1,0,3,0,-3
382,0,0,29,0,-29
383,1,1,312,1261,949
384,1,1,895,2663,1768
385,1,0,81,0,-81
386,1,1,1189,2823,1634
387,0,0,63,0,-63
388,1,1,862,1211,349
389,1,0,47,0,-47
390,0,0,8,0,-8
391,1,0,18,0,-18
392,0,0,14,0,-14
393,1,0,14,0,-14
394,1,0,42,0,-42
395,1,1,1336,1272,-64
396,0,0,82,0,-82
397,1,1,791,2275,1484
398,0,0,10,0,-10
399,1,1,170,1649,1479
400,1,1,441,1427,986
401,0,0,65,0,-65
402,0,0,18,0,-18
403,1,1,155,1296,1141
404,0,0,15,0,-15
405,0,0,6,0,-6
406,1,1,731,1343,612
407,1,0,85,0,-85
408,1,1,226,1796,1570
409,1,1,353,1399,1046
410,1,0,93,0,-93
411,1,1,827,1916,1089
412,0,0,7,0,-7
413,1,1,280,1768,1488
414,1,0,71,0,-71
415,0,0,17,0,-17
416,0,0,5,0,-5
417,1,0,3,0,-3
418,1,1,287,3165,2878
419,0,0,18,0,-18
420,0,0,33,0,-33
421,1,1,763,1212,449
422,1,0,8,0,-8
423,1,1,303,1705,1402
424,1,1,149,1365,1216
425,1,0,135,0,-135
426,1,0,20,0,-20
427,1,0,5,0,-5
428,0,0,13,0,-13
429,1,0,41,0,-41
430,0,0,45,0,-45
431,0,0,12,0,-12
432,1,0,34,0,-34
433,1,0,3,0,-3
434,1,0,21,0,-21
435,1,1,205,1762,1557
436,1,0,4,0,-4
437,0,0,7,0,-7
438,1,0,36,0,-36
439,1,1,61,1423,1362
440,1,1,194,1665,1471
441,1,0,0,0,0
442,0,0,38,0,-38
443,0,0,18,0,-18
444,0,0,0,0,0
445,1,0,94,0,-94
446,0,0,7,0,-7
447,1,0,56,0,-56
448,0,0,79,0,-79
449,1,1,236,1360,1124
450,0,0,104,0,-104
451,1,0,46,0,-46
452,0,0,43,0,-43
453,1,1,49,1881,1832
454,1,1,499,1320,821
455,0,0,8,0,-8
456,0,0,2,0,-2
457,0,0,88,0,-88
458,0,0,66,0,-66
459,1,0,82,0,-82
460,1,0,63,0,-63
461,1,1,1116,1567,451
462,1,1,1794,1753,-41
463,1,1,237,1211,974
464,1,0,82,0,-82
465,1,0,29,0,-29
466,0,0,4,0,-4
467,1,0,32,0,-32
468,0,0,30,0,-30
469,0,0,12,0,-12
470,1,0,54,0,-54
471,1,1,169,1234,1065
472,1,0,86,0,-86
473,0,0,66,0,-66
474,0,0,25,0,-25
475,0,0,55,0,-55
476,0,0,34,0,-34
477,1,1,766,1707,941
478,0,0,65,0,-65
479,0,0,78,0,-78
480,1,0,312,0,-312
481,0,0,62,0,-62
482,1,1,274,1314,1040
483,1,0,51,0,-51
484,0,0,118,0,-118
485,1,1,442,1499,1057
486,0,0,12,0,-12
487,0,0,79,0,-79
488,1,1,991,2312,1321
489,1,1,432,3035,2603
490,1,1,460,1226,766
491,1,1,76,1969,1893
492,0,0,71,0,-71
493,0,0,21,0,-21
494,1,0,28,0,-28
495,0,0,39,0,-39
496,1,0,20,0,-20
497,1,0,5,0,-5
498,1,0,304,0,-304
499,1,1,95,1304,1209
500,0,0,2,0,-2
501,1,0,27,0,-27
502,1,0,2,0,-2
503,1,0,52,0,-52
504,1,1,153,1218,1065
505,0,0,4,0,-4
506,1,1,171,1279,1108
507,1,0,0,0,0
508,1,0,26,0,-26
509,1,1,237,1669,1432
510,0,0,20,0,-20
511,1,1,127,1274,1147
512,0,0,0,0,0
513,0,0,2,0,-2
514,0,0,69,0,-69
515,1,1,2091,1499,-592
516,0,0,6,0,-6
517,1,0,82,0,-82
518,0,0,44,0,-44
519,0,0,8,0,-8
520,1,1,1890,1929,39
521,0,0,35,0,-35
522,1,0,29,0,-29
523,1,1,425,1834,1409
524,1,1,1161,1241,80
525,0,0,17,0,-17
526,0,0,37,0,-37
527,0,0,14,0,-14
528,1,0,66,0,-66
529,1,1,419,1477,1058
530,0,0,0,0,0
531,0,0,31,0,-31
532,0,0,29,0,-29
533,1,0,99,0,-99
534,0,0,41,0,-41
535,0,0,167,0,-167
536,0,0,7,0,-7
537,0,0,7,0,-7
538,1,0,38,0,-38
539,0,0,21,0,-21
540,0,0,56,0,-56
541,0,0,48,0,-48
542,1,0,3,0,-3
543,1,1,199,1671,1472
544,0,0,60,0,-60
545,1,1,373,1262,889
546,0,0,71,0,-71
547,1,0,19,0,-19
548,0,0,57,0,-57
549,1,0,29,0,-29
550,1,1,429,2651,2222
551,0,0,33,0,-33
552,1,0,147,0,-147
553,1,0,27,0,-27
554,0,0,87,0,-87
555,1,0,54,0,-54
556,1,0,42,0,-42
557,1,0,18,0,-18
558,0,0,63,0,-63
559,1,1,388,1415,1027
560,1,0,41,0,-41
561,0,0,13,0,-13
562,1,0,27,0,-27
563,1,0,108,0,-108
564,0,0,62,0,-62
565,1,0,13,0,-13
566,1,1,1478,1308,-170
567,1,1,56,1267,1211
568,0,0,61,0,-61
569,1,1,654,1213,559
570,0,0,35,0,-35
571,0,0,32,0,-32
572,1,1,428,1206,778
573,0,0,61,0,-61
574,1,0,15,0,-15
575,1,1,374,1957,1583
576,1,1,372,1458,1086
577,0,0,6,0,-6
578,1,1,1533,1574,41
579,1,0,8,0,-8
580,0,0,61,0,-61
581,1,1,1034,1397,363
582,0,0,99,0,-99
583,1,0,28,0,-28
584,1,1,744,1273,529
585,1,0,31,0,-31
586,1,0,18,0,-18
587,0,0,0,0,0
588,1,1,767,1409,642
589,1,1,199,1370,1171
590,0,0,42,0,-42
591,0,0,15,0,-15
592,0,0,44,0,-44
593,1,1,2887,1236,-1651
594,0,0,23,0,-23
595,1,0,0,0,0
596,0,0,56,0,-56
597,0,0,13,0,-13
598,1,0,140,0,-140
599,1,1,261,1270,1009
600,0,0,52,0,-52
601,0,0,26,0,-26
602,1,1,1112,1305,193
603,0,0,73,0,-73
604,1,1,102,1702,1600
605,0,0,11,0,-11
606,0,0,16,0,-16
607,0,0,23,0,-23
608,1,1,157,1566,1409
609,0,0,115,0,-115
610,0,0,3,0,-3
611,1,0,135,0,-135
612,1,0,12,0,-12
613,1,0,5,0,-5
614,1,1,922,1204,282
615,0,0,45,0,-45
616,1,0,20,0,-20
617,1,1,160,1302,1142
618,1,0,36,0,-36
619,0,0,33,0,-33
620,1,1,895,1275,380
621,0,0,52,0,-52
622,1,1,84,1739,1655
623,1,0,9,0,-9
624,0,0,31,0,-31
625,1,0,15,0,-15
626,0,0,27,0,-27
627,0,0,26,0,-26
628,1,1,303,1225,922
629,1,0,8,0,-8
630,1,0,6,0,-6
631,0,0,13,0,-13
632,1,0,28,0,-28
633,0,0,11,0,-11
634,0,0,4,0,-4
635,0,0,19,0,-19
636,1,1,1851,1592,-259
637,1,0,159,0,-159
638,1,1,262,1574,1312
639,0,0,2,0,-2
640,1,0,3,0,-3
641,1,0,6,0,-6
642,1,1,536,1518,982
643,1,1,253,1431,1178
644,1,1,218,1450,1232
645,1,1,354,1822,1468
646,1,0,10,0,-10
647,0,0,57,0,-57
648,0,0,43,0,-43
649,1,0,67,0,-67
650,1,0,111,0,-111
651,1,1,308,1523,1215
652,0,0,111,0,-111
653,1,1,1198,1380,182
654,0,0,58,0,-58
655,0,0,1,0,-1
656,1,1,692,1289,597
657,1,0,28,0,-28
658,0,0,1,0,-1
659,1,0,10,0,-10
660,1,1,124,1273,1149
661,0,0,10,0,-10
662,1,0,58,0,-58
663,0,0,76,0,-76
664,1,0,112,0,-112
665,1,0,7,0,-7
666,1,1,338,1360,1022
667,0,0,97,0,-97
668,1,1,132,1743,1611
669,0,0,21,0,-21
670,0,0,120,0,-120
671,1,1,99,1289,1190
672,1,0,26,0,-26
673,1,0,187,0,-187
674,1,1,128,1301,1173
675,1,1,1619,1416,-203
676,0,0,1,0,-1
677,1,0,36,0,-36
678,1,1,556,2259,1703
679,1,0,24,0,-24
680,1,0,20,0,-20
681,1,1,60,1212,1152
682,0,0,53,0,-53
683,0,0,61,0,-61
684,0,0,15,0,-15
685,0,0,80,0,-80
686,0,0,260,0,-260
687,0,0,38,0,-38
688,0,0,32,0,-32
689,1,0,0,0,0
690,0,0,145,0,-145
691,0,0,3,0,-3
692,0,0,131,0,-131
693,1,0,73,0,-73
694,0,0,70,0,-70
695,1,1,556,1443,887
696,0,0,47,0,-47
697,0,0,113,0,-113
698,1,0,81,0,-81
699,1,0,33,0,-33
700,1,0,219,0,-219
701,0,0,2,0,-2
702,1,0,87,0,-87
703,1,1,497,3066,2569
704,0,0,40,0,-40
705,0,0,55,0,-55
706,1,1,308,1313,1005
707,1,0,2,0,-2
708,1,1,86,5372,5286
709,0,0,86,0,-86
710,0,0,15,0,-15
711,1,0,57,0,-57
712,0,0,12,0,-12
713,0,0,13,0,-13
714,1,1,558,1395,837
715,0,0,121,0,-121
716,1,0,337,0,-337
717,1,0,9,0,-9
718,0,0,21,0,-21
719,1,1,415,2092,1677
720,1,0,56,0,-56
721,1,1,475,1373,898
722,1,0,18,0,-18
723,0,0,26,0,-26
724,0,0,20,0,-20
725,0,0,141,0,-141
726,1,1,2061,1336,-725
727,0,0,87,0,-87
728,1,0,1,0,-1
729,1,1,762,2565,1803
730,0,0,9,0,-9
731,1,1,108,2027,1919
732,0,0,31,0,-31
733,1,1,464,1227,763
734,1,1,308,1405,1097
735,1,1,1255,1371,116
736,1,1,944,2119,1175
737,1,1,247,1248,1001
738,0,0,65,0,-65
739,1,0,0,0,0
740,0,0,53,0,-53
741,1,1,190,1378,1188
742,0,0,65,0,-65
743,0,0,8,0,-8
744,0,0,22,0,-22
745,1,0,44,0,-44
746,1,0,33,0,-33
747,1,0,12,0,-12
748,1,0,58,0,-58
749,0,0,50,0,-50
750,0,0,31,0,-31
751,0,0,110,0,-110
752,1,0,105,0,-105
753,1,1,154,1467,1313
754,0,0,46,0,-46
755,0,0,13,0,-13
756,0,0,64,0,-64
757,1,0,34,0,-34
758,1,0,33,0,-33
759,0,0,34,0,-34
760,0,0,4,0,-4
761,1,0,11,0,-11
762,0,0,56,0,-56
763,1,1,336,1201,865
764,1,1,474,1262,788
765,0,0,66,0,-66
766,0,0,127,0,-127
767,1,0,12,0,-12
768,0,0,43,0,-43
769,1,0,8,0,-8
770,1,0,5,0,-5
771,0,0,85,0,-85
772,1,0,9,0,-9
773,1,0,10,0,-10
774,0,0,12,0,-12
775,0,0,16,0,-16
776,0,0,24,0,-24
777,1,1,200,1571,1371
778,0,0,10,0,-10
779,0,0,28,0,-28
780,1,1,491,2680,2189
781,1,1,87,1259,1172
782,1,0,17,0,-17
783,1,1,546,2189,1643
784,0,0,75,0,-75
785,1,1,159,1219,1060
786,1,0,16,0,-16
787,0,0,14,0,-14
788,1,0,54,0,-54
789,0,0,216,0,-216
790,1,1,205,2071,1866
791,1,0,2,0,-2
792,1,1,380,1420,1040
793,0,0,18,0,-18
794,1,1,891,1462,571
795,0,0,17,0,-17
796,1,0,13,0,-13
797,0,0,17,0,-17
798,0,0,12,0,-12
799,0,0,2,0,-2
800,1,0,88,0,-88
801,1,1,419,1309,890
802,1,1,1243,1402,159
803,0,0,7,0,-7
804,1,0,78,0,-78
805,1,1,999,1299,300
806,0,0,15,0,-15
807,1,1,168,1245,1077
808,0,0,131,0,-131
809,1,0,72,0,-72
810,1,1,297,1410,1113
811,0,0,6,0,-6
812,0,0,12,0,-12
813,0,0,36,0,-36
814,0,0,26,0,-26
815,0,0,58,0,-58
816,1,0,66,0,-66
817,1,0,43,0,-43
818,0,0,7,0,-7
819,0,0,15,0,-15
820,0,0,2,0,-2
821,1,1,213,1526,1313
822,0,0,8,0,-8
823,0,0,70,0,-70
824,1,1,491,1608,1117
825,0,0,152,0,-152
826,0,0,229,0,-229
827,1,0,106,0,-106
828,1,0,7,0,-7
829,1,0,49,0,-49
830,0,0,40,0,-40
831,0,0,81,0,-81
832,0,0,7,0,-7
833,0,0,20,0,-20
834,1,0,21,0,-21
835,0,0,227,0,-227
836,0,0,54,0,-54
837,0,0,32,0,-32
838,0,0,37,0,-37
839,1,1,468,1367,899
840,1,1,974,2597,1623
841,1,0,11,0,-11
842,0,0,51,0,-51
843,0,0,90,0,-90
844,0,0,9,0,-9
845,1,0,80,0,-80
846,1,0,174,0,-174
847,1,1,356,1527,1171
848,1,0,23,0,-23
849,0,0,2,0,-2
850,0,0,7,0,-7
851,0,0,81,0,-81
852,1,1,267,3869,3602
853,1,1,187,2364,2177
854,0,0,35,0,-35
855,1,0,7,0,-7
856,1,0,28,0,-28
857,0,0,12,0,-12
858,1,1,470,1648,1178
859,1,1,642,2736,2094
860,1,0,15,0,-15
861,1,1,743,2532,1789
862,0,0,301,0,-301
863,0,0,19,0,-19
864,1,1,195,1503,1308
865,1,0,104,0,-104
866,0,0,136,0,-136
867,0,0,14,0,-14
868,1,1,265,1618,1353
869,0,0,30,0,-30
870,0,0,61,0,-61
871,1,0,145,0,-145
872,1,0,74,0,-74
873,0,0,179,0,-179
874,1,1,95,1866,1771
875,1,0,194,0,-194
876,1,1,257,1351,1094
877,1,1,1777,1312,-465
878,1,1,582,1389,807
879,1,1,207,1343,1136
880,0,0,29,0,-29
881,0,0,97,0,-97
882,1,0,33,0,-33
883,0,0,51,0,-51
884,1,0,61,0,-61
885,1,0,4,0,-4
886,0,0,10,0,-10
887,0,0,9,0,-9
888,0,0,14,0,-14
889,1,1,528,1315,787
890,1,0,8,0,-8
891,1,1,301,1341,1040
892,1,1,273,1363,1090
893,0,0,16,0,-16
894,1,1,53,2039,1986
895,1,1,62,2200,2138
896,1,0,160,0,-160
897,0,0,22,0,-22
898,1,0,27,0,-27
899,0,0,11,0,-11
900,1,1,640,4007,3367
901,1,0,33,0,-33
902,0,0,46,0,-46
903,0,0,37,0,-37
904,0,0,65,0,-65
905,1,1,27,1666,1639
906,1,1,394,1502,1108
907,1,1,1571,1217,-354
908,1,0,230,0,-230
909,0,0,24,0,-24
910,1,0,110,0,-110
911,1,1,397,1415,1018
912,0,0,31,0,-31
913,1,0,7,0,-7
914,0,0,74,0,-74
915,0,0,155,0,-155
916,0,0,33,0,-33
917,0,0,81,0,-81
918,1,1,724,2516,1792
919,1,0,41,0,-41
920,0,0,85,0,-85
921,1,0,76,0,-76
922,0,0,23,0,-23
923,1,0,2,0,-2
924,0,0,26,0,-26
925,1,0,34,0,-34
926,0,0,13,0,-13
927,1,1,582,2075,1493
928,1,1,418,1789,1371
929,0,0,3,0,-3
930,0,0,16,0,-16
931,0,0,12,0,-12
932,1,0,121,0,-121
933,1,1,292,1250,958
934,0,0,0,0,0
935,1,1,793,1230,437
936,1,1,625,1683,1058
937,0,0,22,0,-22
938,0,0,22,0,-22
939,0,0,37,0,-37
940,1,0,27,0,-27
941,0,0,72,0,-72
942,0,0,3,0,-3
943,1,0,84,0,-84
944,0,0,42,0,-42
945,1,1,96,1210,1114
946,0,0,125,0,-125
947,0,0,67,0,-67
948,1,1,87,1404,1317
949,0,0,9,0,-9
950,1,0,48,0,-48
951,1,1,691,1785,1094
952,1,0,209,0,-209
953,1,0,35,0,-35
954,0,0,34,0,-34
955,1,0,96,0,-96
956,1,0,14,0,-14
957,1,0,32,0,-32
958,1,1,703,1218,515
959,1,1,111,1286,1175
960,1,0,13,0,-13
961,1,0,9,0,-9
962,1,0,66,0,-66
963,0,0,25,0,-25
964,0,0,12,0,-12
965,1,1,161,1276,1115
966,0,0,28,0,-28
967,0,0,64,0,-64
968,1,0,61,0,-61
969,0,0,100,0,-100
970,1,1,573,1583,1010
971,1,0,10,0,-10
972,0,0,76,0,-76
973,1,1,1635,1265,-370
974,1,0,20,0,-20
975,1,1,369,1236,867
976,1,1,539,2184,1645
977,0,0,17,0,-17
978,1,1,1132,1233,101
979,1,0,73,0,-73
980,1,0,108,0,-108
981,0,0,14,0,-14
982,1,0,36,0,-36
983,0,0,3,0,-3
984,1,0,32,0,-32
985,0,0,10,0,-10
986,1,0,48,0,-48
987,1,1,409,1392,983
988,1,0,13,0,-13
989,0,0,105,0,-105
990,1,1,551,1222,671
991,1,1,182,1461,1279
992,1,1,244,2142,1898
993,1,0,49,0,-49
994,0,0,8,0,-8
995,0,0,32,0,-32
996,1,0,141,0,-141
997,1,0,21,0,-21
998,1,0,7,0,-7
999,1,0,40,0,-40
1000,1,0,25,0,-25
1001,0,0,43,0,-43
1002,1,1,274,1412,1138
1003,0,0,49,0,-49
1004,0,0,68,0,-68
1005,1,0,12,0,-12
1006,1,0,4,0,-4
1007,1,1,121,1826,1705
1008,0,0,72,0,-72
1009,1,0,13,0,-13
1010,0,0,73,0,-73
1011,1,0,6,0,-6
1012,1,1,211,1494,1283
1013,0,0,1,0,-1
1014,0,0,23,0,-23
1015,1,0,5,0,-5
1016,0,0,68,0,-68
1017,0,0,38,0,-38
1018,1,0,158,0,-158
1019,1,1,831,1208,377
1020,0,0,58,0,-58
1021,0,0,7,0,-7
1022,1,1,333,2433,2100
1023,0,0,22,0,-22
1024,1,1,721,1577,856
1025,0,0,5,0,-5
1026,0,0,7,0,-7
1027,0,0,52,0,-52
1028,1,0,12,0,-12
1029,1,0,58,0,-58
1030,0,0,33,0,-33
1031,1,1,283,2127,1844
1032,1,0,22,0,-22
1033,1,0,23,0,-23
1034,0,0,43,0,-43
1035,1,1,683,1407,724
1036,1,0,109,0,-109
1037,0,0,26,0,-26
1038,0,0,44,0,-44
1039,1,0,10,0,-10
1040,0,0,47,0,-47
1041,0,0,66,0,-66
1042,0,0,16,0,-16
1043,1,0,6,0,-6
1044,1,1,462,1481,1019
1045,0,0,9,0,-9
1046,0,0,99,0,-99
1047,1,0,186,0,-186
1048,1,0,158,0,-158
1049,1,1,539,3798,3259
